"parentTerm","parent_size","ID","cluster","parent","parentSimScore","score","size","term","Description","Freq"
"oligodendrocyte differentiation",36,"GO:0061003",34,"GO:0048709",0.467,1,22,"positive regulation of dendritic spine morphogenesis","positive regulation of dendritic
spine morphogenesis",1
"oligodendrocyte differentiation",36,"GO:0007422",34,"GO:0048709",0.432,2,27,"peripheral nervous system development","peripheral nervous system development",2
"oligodendrocyte differentiation",36,"GO:0048714",34,"GO:0048709",0.895,1,24,"positive regulation of oligodendrocyte differentiation","positive regulation of oligodendrocyte differentiation",1
"oligodendrocyte differentiation",36,"GO:0021987",34,"GO:0048709",0.619,1,68,"cerebral cortex development","cerebral cortex development",1
"oligodendrocyte differentiation",36,"GO:0048709",34,"GO:0048709",0.999,2,29,"oligodendrocyte differentiation","oligodendrocyte differentiation",2
"oligodendrocyte differentiation",36,"GO:0021756",34,"GO:0048709",0.548,1,12,"striatum development","striatum development",1
"oligodendrocyte differentiation",36,"GO:0071679",34,"GO:0048709",0.45,1,12,"commissural neuron axon guidance","commissural neuron axon guidance",1
"oligodendrocyte differentiation",36,"GO:0050775",34,"GO:0048709",0.489,1,23,"positive regulation of dendrite morphogenesis","positive regulation of dendrite morphogenesis",1
"oligodendrocyte differentiation",36,"GO:0061564",34,"GO:0048709",0.604,2,15,"axon development","axon development",2
"oligodendrocyte differentiation",36,"GO:0071542",34,"GO:0048709",0.499,1,28,"dopaminergic neuron differentiation","dopaminergic neuron differentiation",1
"oligodendrocyte differentiation",36,"GO:0031290",34,"GO:0048709",0.473,1,20,"retinal ganglion cell axon guidance","retinal ganglion cell axon guidance",1
"oligodendrocyte differentiation",36,"GO:0060384",34,"GO:0048709",0.4,1,20,"innervation","innervation",1
"oligodendrocyte differentiation",36,"GO:0014003",34,"GO:0048709",0.939,1,25,"oligodendrocyte development","oligodendrocyte development",1
"oligodendrocyte differentiation",36,"GO:0050768",34,"GO:0048709",0.567,1,22,"negative regulation of neurogenesis","negative regulation of neurogenesis",1
"oligodendrocyte differentiation",36,"GO:0048814",34,"GO:0048709",0.516,1,22,"regulation of dendrite morphogenesis","regulation of dendrite morphogenesis",1
"oligodendrocyte differentiation",36,"GO:0021522",34,"GO:0048709",0.573,1,17,"spinal cord motor neuron differentiation","spinal cord motor neuron differentiation",1
"oligodendrocyte differentiation",36,"GO:0022011",34,"GO:0048709",0.789,1,18,"myelination in peripheral nervous system","myelination in peripheral nervous system",1
"oligodendrocyte differentiation",36,"GO:0021510",34,"GO:0048709",0.625,1,32,"spinal cord development","spinal cord development",1
"oligodendrocyte differentiation",36,"GO:0007409",34,"GO:0048709",0.599,1,83,"axonogenesis","axonogenesis",1
"oligodendrocyte differentiation",36,"GO:0007411",34,"GO:0048709",0.571,2,229,"axon guidance","axon guidance",2
"oligodendrocyte differentiation",36,"GO:1900006",34,"GO:0048709",0.51,1,15,"positive regulation of dendrite development","positive regulation of dendrite development",1
"oligodendrocyte differentiation",36,"GO:0021762",34,"GO:0048709",0.577,1,43,"substantia nigra development","substantia nigra development",1
"oligodendrocyte differentiation",36,"GO:0060998",34,"GO:0048709",0.511,1,9,"regulation of dendritic spine development","regulation of dendritic spine development",1
"oligodendrocyte differentiation",36,"GO:0021542",34,"GO:0048709",0.542,2,16,"dentate gyrus development","dentate gyrus development",2
"calcium ion import",33,"GO:0071805",40,"GO:0070509",0.651,1,153,"potassium ion transmembrane transport","potassium ion transmembrane transport",1
"calcium ion import",33,"GO:0015813",40,"GO:0070509",0.439,1,18,"L-glutamate transmembrane transport","L-glutamate transmembrane transport",1
"calcium ion import",33,"GO:0035725",40,"GO:0070509",0.621,1,76,"sodium ion transmembrane transport","sodium ion transmembrane transport",1
"calcium ion import",33,"GO:0051281",40,"GO:0070509",0.67,1,31,"positive regulation of release of sequestered calcium ion into cytosol","positive regulation of release of sequestered
calcium ion into cytosol",1
"calcium ion import",33,"GO:0006851",40,"GO:0070509",0.674,1,35,"mitochondrial calcium ion transmembrane transport","mitochondrial calcium ion transmembrane transport",1
"calcium ion import",33,"GO:0070509",40,"GO:0070509",0.999,2,27,"calcium ion import","calcium ion import",2
"calcium ion import",33,"GO:0043252",40,"GO:0070509",0.432,2,25,"sodium-independent organic anion transport","sodium-independent organic anion transport",2
"calcium ion import",33,"GO:0098656",40,"GO:0070509",0.525,1,44,"anion transmembrane transport","anion transmembrane transport",1
"calcium ion import",33,"GO:0098662",40,"GO:0070509",0.672,2,4,"inorganic cation transmembrane transport","inorganic cation transmembrane transport",2
"calcium ion import",33,"GO:0010765",40,"GO:0070509",0.56,1,17,"positive regulation of sodium ion transport","positive regulation of sodium
ion transport",1
"calcium ion import",33,"GO:2000649",40,"GO:0070509",0.575,1,23,"regulation of sodium ion transmembrane transporter activity","regulation of sodium ion
transmembrane transporter activity",1
"calcium ion import",33,"GO:0015701",40,"GO:0070509",0.455,1,57,"bicarbonate transport","bicarbonate transport",1
"calcium ion import",33,"GO:1901381",40,"GO:0070509",0.568,1,12,"positive regulation of potassium ion transmembrane transport","positive regulation of potassium
ion transmembrane transport",1
"calcium ion import",33,"GO:0006825",40,"GO:0070509",0.546,1,16,"copper ion transport","copper ion transport",1
"calcium ion import",33,"GO:0015721",40,"GO:0070509",0.442,1,33,"bile acid and bile salt transport","bile acid and bile
salt transport",1
"calcium ion import",33,"GO:2001256",40,"GO:0070509",0.627,2,15,"regulation of store-operated calcium entry","regulation of store-operated calcium
entry",2
"calcium ion import",33,"GO:2000650",40,"GO:0070509",0.522,1,11,"negative regulation of sodium ion transmembrane transporter activity","negative regulation of sodium
ion transmembrane transporter activity",1
"calcium ion import",33,"GO:0002028",40,"GO:0070509",0.602,1,18,"regulation of sodium ion transport","regulation of sodium ion transport",1
"calcium ion import",33,"GO:0070588",40,"GO:0070509",0.797,1,132,"calcium ion transmembrane transport","calcium ion transmembrane transport",1
"calcium ion import",33,"GO:0097623",40,"GO:0070509",0.548,1,23,"potassium ion export across plasma membrane","potassium ion export across
plasma membrane",1
"calcium ion import",33,"GO:0006816",40,"GO:0070509",0.825,2,86,"calcium ion transport","calcium ion transport",2
"calcium ion import",33,"GO:0006814",40,"GO:0070509",0.645,1,83,"sodium ion transport","sodium ion transport",1
"calcium ion import",33,"GO:1990573",40,"GO:0070509",0.575,1,57,"potassium ion import across plasma membrane","potassium ion import across
plasma membrane",1
"calcium ion import",33,"GO:0051928",40,"GO:0070509",0.725,1,31,"positive regulation of calcium ion transport","positive regulation of calcium
ion transport",1
"calcium ion import",33,"GO:0036376",40,"GO:0070509",0.541,1,21,"sodium ion export across plasma membrane","sodium ion export across
plasma membrane",1
"calcium ion import",33,"GO:0015718",40,"GO:0070509",0.498,2,13,"monocarboxylic acid transport","monocarboxylic acid transport",2
"calcium ion import",33,"GO:0006812",40,"GO:0070509",0.706,1,36,"cation transport","cation transport",1
"positive regulation of cell-substrate adhesion",28,"GO:0051895",28,"GO:0010811",0.794,1,18,"negative regulation of focal adhesion assembly","negative regulation of focal
adhesion assembly",1
"positive regulation of cell-substrate adhesion",28,"GO:0007157",28,"GO:0010811",0.532,2,49,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","heterophilic cell-cell adhesion via plasma membrane
cell adhesion molecules",2
"positive regulation of cell-substrate adhesion",28,"GO:0010812",28,"GO:0010811",0.873,1,18,"negative regulation of cell-substrate adhesion","negative regulation of cell-substrate
adhesion",1
"positive regulation of cell-substrate adhesion",28,"GO:0031589",28,"GO:0010811",0.898,1,18,"cell-substrate adhesion","cell-substrate adhesion",1
"positive regulation of cell-substrate adhesion",28,"GO:0090136",28,"GO:0010811",0.493,1,10,"epithelial cell-cell adhesion","epithelial cell-cell adhesion",1
"positive regulation of cell-substrate adhesion",28,"GO:0016339",28,"GO:0010811",0.533,1,48,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","calcium-dependent cell-cell adhesion via plasma membrane
cell adhesion molecules",1
"positive regulation of cell-substrate adhesion",28,"GO:0001952",28,"GO:0010811",0.908,2,13,"regulation of cell-matrix adhesion","regulation of cell-matrix adhesion",2
"positive regulation of cell-substrate adhesion",28,"GO:0034446",28,"GO:0010811",0.806,1,56,"substrate adhesion-dependent cell spreading","substrate adhesion-dependent cell spreading",1
"positive regulation of cell-substrate adhesion",28,"GO:0010811",28,"GO:0010811",0.999,3,43,"positive regulation of cell-substrate adhesion","positive regulation of cell-substrate
adhesion",3
"positive regulation of cell-substrate adhesion",28,"GO:0098742",28,"GO:0010811",0.615,2,14,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane
adhesion molecules",2
"positive regulation of cell-substrate adhesion",28,"GO:0033630",28,"GO:0010811",0.693,2,15,"positive regulation of cell adhesion mediated by integrin","positive regulation of cell
adhesion mediated by integrin",2
"positive regulation of cell-substrate adhesion",28,"GO:0007160",28,"GO:0010811",0.863,2,105,"cell-matrix adhesion","cell-matrix adhesion",2
"positive regulation of cell-substrate adhesion",28,"GO:0001954",28,"GO:0010811",0.937,2,27,"positive regulation of cell-matrix adhesion","positive regulation of cell-matrix
adhesion",2
"positive regulation of cell-substrate adhesion",28,"GO:0034115",28,"GO:0010811",0.593,1,12,"negative regulation of heterotypic cell-cell adhesion","negative regulation of heterotypic
cell-cell adhesion",1
"positive regulation of cell-substrate adhesion",28,"GO:0099560",28,"GO:0010811",0.523,2,33,"synaptic membrane adhesion","synaptic membrane adhesion",2
"positive regulation of cell-substrate adhesion",28,"GO:1900026",28,"GO:0010811",0.916,2,38,"positive regulation of substrate adhesion-dependent cell spreading","positive regulation of substrate
adhesion-dependent cell spreading",2
"positive regulation of cell-substrate adhesion",28,"GO:1900025",28,"GO:0010811",0.778,1,13,"negative regulation of substrate adhesion-dependent cell spreading","negative regulation of substrate
adhesion-dependent cell spreading",1
"positive regulation of cell-substrate adhesion",28,"GO:0033627",28,"GO:0010811",0.551,1,27,"cell adhesion mediated by integrin","cell adhesion mediated by integrin",1
"cholesterol homeostasis",26,"GO:0051481",17,"GO:0042632",0.521,1,13,"negative regulation of cytosolic calcium ion concentration","negative regulation of cytosolic
calcium ion concentration",1
"cholesterol homeostasis",26,"GO:0042632",17,"GO:0042632",0.999,3,127,"cholesterol homeostasis","cholesterol homeostasis",3
"cholesterol homeostasis",26,"GO:0070328",17,"GO:0042632",0.847,1,45,"triglyceride homeostasis","triglyceride homeostasis",1
"cholesterol homeostasis",26,"GO:0099566",17,"GO:0042632",0.521,1,12,"regulation of postsynaptic cytosolic calcium ion concentration","regulation of postsynaptic cytosolic
calcium ion concentration",1
"cholesterol homeostasis",26,"GO:0007204",17,"GO:0042632",0.666,1,158,"positive regulation of cytosolic calcium ion concentration","positive regulation of cytosolic
calcium ion concentration",1
"cholesterol homeostasis",26,"GO:0003091",17,"GO:0042632",0.56,1,35,"renal water homeostasis","renal water homeostasis",1
"cholesterol homeostasis",26,"GO:0055078",17,"GO:0042632",0.575,1,14,"sodium ion homeostasis","sodium ion homeostasis",1
"cholesterol homeostasis",26,"GO:0051209",17,"GO:0042632",0.629,1,60,"release of sequestered calcium ion into cytosol","release of sequestered calcium
ion into cytosol",1
"cholesterol homeostasis",26,"GO:0099509",17,"GO:0042632",0.529,1,13,"regulation of presynaptic cytosolic calcium ion concentration","regulation of presynaptic cytosolic
calcium ion concentration",1
"cholesterol homeostasis",26,"GO:0042593",17,"GO:0042632",0.639,3,112,"glucose homeostasis","glucose homeostasis",3
"cholesterol homeostasis",26,"GO:0061436",17,"GO:0042632",0.543,1,26,"establishment of skin barrier","establishment of skin barrier",1
"cholesterol homeostasis",26,"GO:0035633",17,"GO:0042632",0.417,1,2,"maintenance of blood-brain barrier","maintenance of blood-brain barrier",1
"cholesterol homeostasis",26,"GO:0006879",17,"GO:0042632",0.586,1,65,"cellular iron ion homeostasis","cellular iron ion homeostasis",1
